21
   1	1s      2   90526
   2	2s      2   16388
   3	2p1/2	2   15711
   4	2p3/2	4   13419
   5	3s      2   3999
   6	3p1/2	2   3696
   7	3p3/2	4   3177
   8	3d3/2	4   2688
   9    3d5/2	6   2580
   10	4s      2   939
   11	4p1/2	2   805.2
   12	4p3/2	4   678.8
   13	4d3/2	2   464
   14	4d5/2	2   440.1
   15	4f5/2	2   162.3
   16	4f7/2	2   157
   17	5s      2   159.3
   18	5p1/2	2   119
   19	5p3/2	2   92.6
   20	5d3/2	2   26.9
   21	5d5/2	2   23.8
   5  7  0  5.36543000E-04  8.07000000E+02
   5 11  0  1.67191000E-03  3.18500000E+03
   5 12  0  1.24441000E-03  3.31500000E+03
   5 18  0  3.73512000E-04  3.85078000E+03
   5 19  0  3.00142000E-04  3.87644000E+03
   5 25  0  1.77451000E-05  3.96530000E+03
   5 26  0  1.19811000E-05  3.96755000E+03
   5  6 15  2.54802000E-02  1.07330000E+02
   5  6 16  3.42967000E-02  1.13030000E+02
   5  7 12  5.58286000E-02  1.37840000E+02
   5  7 13  1.68029000E-02  3.42050000E+02
   5  7 14  2.98032000E-02  3.66390000E+02
   5  7 15  1.79457000E-01  6.33130000E+02
   5  7 16  2.21200000E-01  6.38830000E+02
   5  8 10  2.55145000E-02  3.52470000E+02
   5  8 11  5.53523000E-03  4.76470000E+02
   5  8 12  7.20188000E-03  6.06740000E+02
   5  8 13  8.78594000E-03  8.10950000E+02
   5  8 14  1.08040000E-02  8.35290000E+02
   5  8 15  9.18051000E-03  1.10203000E+03
   5  8 16  8.49065000E-03  1.10773000E+03
   5  9 10  3.54584000E-02  4.64470000E+02
   5  9 11  9.22950000E-04  5.88470000E+02
   5  9 12  1.11497000E-02  7.18740000E+02
   5  9 13  1.21641000E-02  9.22950000E+02
   5  9 14  1.71686000E-02  9.47290000E+02
   5  9 15  1.05101000E-02  1.21403000E+03
   5  9 16  1.62591000E-02  1.21973000E+03
   5 10 10  2.41699000E-03  2.12704000E+03
   5 10 11  4.23039000E-03  2.25104000E+03
   5 10 12  6.91372000E-03  2.38131000E+03
   5 10 13  8.07689000E-03  2.58552000E+03
   5 10 14  1.13384000E-02  2.60986000E+03
   5 10 15  5.82121000E-03  2.87660000E+03
   5 10 16  7.28885000E-03  2.88230000E+03
   5 11 11  1.76448000E-04  2.37504000E+03
   5 11 12  5.19142000E-04  2.50531000E+03
   5 11 13  2.67042000E-04  2.70952000E+03
   5 11 14  1.45838000E-04  2.73386000E+03
   5 11 15  3.64140000E-05  3.00060000E+03
   5 11 16  4.61959000E-04  3.00630000E+03
   5 12 12  5.81409000E-04  2.63558000E+03
   5 12 13  6.00778000E-04  2.83979000E+03
   5 12 14  1.38087000E-03  2.86413000E+03
   5 12 15  6.59512000E-04  3.13087000E+03
   5 12 16  1.09985000E-03  3.13657000E+03
   5 13 13  9.66075000E-05  3.04400000E+03
   5 13 14  3.51999000E-04  3.06834000E+03
   5 13 15  4.42990000E-04  3.33508000E+03
   5 13 16  2.93267000E-03  3.34078000E+03
   5 14 14  2.38376000E-04  3.09268000E+03
   5 14 15  2.70738000E-03  3.35942000E+03
   5 14 16  1.65098000E-03  3.36512000E+03
   5 15 15  6.03752000E-04  3.62616000E+03
   5 15 16  4.02006000E-03  3.63186000E+03
   5 16 16  1.36544000E-03  3.63756000E+03
   6  8  0  1.12521000E-03  9.94700000E+02
   6 10  0  7.79744000E-04  2.76927000E+03
   6 13  0  4.13682000E-03  3.23400000E+03
   6 17  0  1.74831000E-04  3.52584000E+03
   6 20  0  6.48994000E-04  3.65733000E+03
   6 24  0  2.42851000E-05  3.67501000E+03
   6  7 15  2.84277000E-02  3.51930000E+02
   6  7 16  2.55248000E-02  3.57630000E+02
   6  8 11  4.94329000E-02  1.95270000E+02
   6  8 12  4.38844000E-02  3.25540000E+02
   6  8 13  1.80232000E-02  5.29750000E+02
   6  8 14  2.31801000E-02  5.54090000E+02
   6  8 15  1.42623000E-01  8.20830000E+02
   6  8 16  2.20918000E-01  8.26530000E+02
   6  9 10  7.67888000E-03  1.83270000E+02
   6  9 11  5.58132000E-02  3.07270000E+02
   6  9 12  4.80160000E-03  4.37540000E+02
   6  9 13  1.10867000E-03  6.41750000E+02
   6  9 14  2.71264000E-03  6.66090000E+02
   6  9 15  6.17840000E-03  9.32830000E+02
   6  9 16  4.12714000E-03  9.38530000E+02
   6 10 10  7.15582000E-04  1.84584000E+03
   6 10 11  1.05764000E-02  1.96984000E+03
   6 10 12  1.43491000E-03  2.10011000E+03
   6 10 13  3.67358000E-04  2.30432000E+03
