24
    1 1s1/2 2  9.31060000E+04
    5 11 13  2.61088000E-04  2.78774000E+03
    5 11 14  1.41044000E-04  2.81376000E+03
    5 11 15  3.41536000E-05  3.08780000E+03
    5 11 16  4.64830000E-04  3.09400000E+03
    5 12 12  5.63503000E-04  2.71768000E+03
    5 12 13  6.02785000E-04  2.92708000E+03
    5 12 14  1.38087000E-03  2.95310000E+03
    5 12 15  6.82022000E-04  3.22714000E+03
    5 12 16  1.12175000E-03  3.23334000E+03
    5 13 13  9.53490000E-05  3.13648000E+03
    5 13 14  3.34395000E-04  3.16250000E+03
    5 13 15  4.40223000E-04  3.43654000E+03
    5 13 16  2.88289000E-03  3.44274000E+03
    5 14 14  2.34449000E-04  3.18852000E+03
    5 14 15  2.67152000E-03  3.46256000E+03
    5 14 16  1.63868000E-03  3.46876000E+03
    5 15 15  6.08267000E-04  3.73660000E+03
    5 15 16  4.03725000E-03  3.74280000E+03
    5 16 16  1.37594000E-03  3.74900000E+03
    6  8  0  1.18350000E-03  1.03670000E+03
    6 10  0  8.02252000E-04  2.86856000E+03
    6 13  0  4.23881000E-03  3.34464000E+03
    6 17  0  1.83540000E-04  3.65886000E+03
    6 20  0  7.11612000E-04  3.79804000E+03
    6 24  0  2.72901000E-05  3.81987000E+03
    6  7 15  2.85059000E-02  3.63200000E+02
    6  7 16  2.53206000E-02  3.69400000E+02
    6  8 11  4.92926000E-02  1.92400000E+02
    6  8 12  4.26218000E-02  3.31740000E+02
    6  8 13  1.77385000E-02  5.41140000E+02
    6  8 14  2.32369000E-02  5.67160000E+02
    6  8 15  1.43178000E-01  8.41200000E+02
    6  8 16  2.22138000E-01  8.47400000E+02
    6  9 10  7.60117000E-03  1.83460000E+02
    6  9 11  5.56014000E-02  3.10800000E+02
    6  9 12  4.74796000E-03  4.50140000E+02
    6  9 13  1.14803000E-03  6.59540000E+02
    6  9 14  2.69268000E-03  6.85560000E+02
    6  9 15  6.33080000E-03  9.59600000E+02
    6  9 16  4.18174000E-03  9.65800000E+02
    6 10 10  6.97251000E-04  1.89692000E+03
    6 10 11  1.03571000E-02  2.02426000E+03
    6 10 12  1.39270000E-03  2.16360000E+03
    6 10 13  3.64437000E-04  2.37300000E+03
    6 10 14  1.20574000E-03  2.39902000E+03
    6 10 15  5.05756000E-05  2.67306000E+03
    6 10 16  8.78788000E-04  2.67926000E+03
    6 11 11  8.01601000E-03  2.15160000E+03
    6 11 12  2.21919000E-02  2.29094000E+03
    6 11 13  2.22815000E-02  2.50034000E+03
    6 11 14  3.52931000E-02  2.52636000E+03
    6 11 15  1.33925000E-02  2.80040000E+03
    6 11 16  2.23197000E-02  2.80660000E+03
    6 12 12  5.89309000E-04  2.43028000E+03
    6 12 13  1.43148000E-03  2.63968000E+03
    6 12 14  1.27387000E-03  2.66570000E+03
    6 12 15  9.04036000E-03  2.93974000E+03
